Date,Description,Amount
2025-06-01,ACME CORP PAYROLL,4500.00
2025-06-02,AMAZON MARKETPLACE,-89.99
2025-06-03,WHOLE FOODS MARKET,-124.50
2025-06-03,UBER TRIP,-24.80
2025-06-04,NETFLIX.COM,-15.99
2025-06-05,CHASE MORTGAGE PAYMENT,-1850.00
2025-06-07,STARBUCKS,-6.45
2025-06-08,SHELL OIL,-52.30
2025-06-10,SPOTIFY USA,-10.99
2025-06-12,TARGET STORE,-67.22
2025-06-15,TRANSFER TO SAVINGS,-500.00
2025-06-18,CON EDISON,-98.40
2025-06-22,DOORDASH,-34.50
2025-06-25,CVS PHARMACY,-28.75
2025-06-28,ATM WITHDRAWAL,-100.00
